"","tm","headshots","logo","color"
"1","Duke","/var/folders/xb/c4t_db6d0lqbkkhqcms82mvm0000gn/T//RtmpZ2kOCa/cropped4a82bd45358.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&h=200&w=200","#012169"
"2","SAC","/var/folders/xb/c4t_db6d0lqbkkhqcms82mvm0000gn/T//RtmpZ2kOCa/cropped4a8abcce3.png","https://cdn.nba.com/teams/uploads/sites/1610612758/2022/04/Kings-Primary.svg","#5a2d81"
"3","ATL","/var/folders/xb/c4t_db6d0lqbkkhqcms82mvm0000gn/T//RtmpZ2kOCa/cropped4a8f184b6d.png","https://cdn.nba.com/teams/uploads/sites/1610612737/2023/01/atl_hawks_primary_icon.svg","#c8102e"
"4","WAS","/var/folders/xb/c4t_db6d0lqbkkhqcms82mvm0000gn/T//RtmpZ2kOCa/cropped4a83ffe8d9.png","https://cdn.nba.com/teams/uploads/sites/1610612764/2022/06/wiz-primary.svg","#002b5c"
"5","MIL","/var/folders/xb/c4t_db6d0lqbkkhqcms82mvm0000gn/T//RtmpZ2kOCa/cropped4a81610009c.png","https://cdn.nba.com/teams/uploads/sites/1610612749/2021/09/logo.svg","#00471c"
"6","CHI","/var/folders/xb/c4t_db6d0lqbkkhqcms82mvm0000gn/T//RtmpZ2kOCa/cropped4a874980d14.png","https://cdn.nba.com/teams/uploads/sites/1610612741/2021/10/bulls-svg.svg","#c8102e"
"7","BOS","/var/folders/xb/c4t_db6d0lqbkkhqcms82mvm0000gn/T//RtmpZ2kOCa/cropped4a82a82d7d9.png","https://cdn.nba.com/teams/uploads/sites/1610612738/2022/05/celtics_secondary.svg","#008348"
