name;foto
Antonio Conde;https://drive.google.com/file/d/1ZNnGwgH9jcFoODgoYVuHW6sA7skahsaG/view?usp=drive_link
Benjamín Jiménez;https://drive.google.com/file/d/1au2pnlao4yVxjqw4IZfF1Lte11WaILZ6/view?usp=drive_link
Carlos Cortés;https://drive.google.com/file/d/18yaI7PEhmdluhh6cqzy0yt7terYLs3eC/view?usp=drive_link
Carlos Peruga;https://github.com/IvoVillanueva/arbitros/blob/main/Carlos%20Peruga.png
Daniel Hierrezuelo;https://github.com/IvoVillanueva/arbitros/blob/main/Daniel%20Hierrezuelo.png
Emilio Pérez Pizarro;https://github.com/IvoVillanueva/arbitros/blob/main/Emilio%20Pe%CC%81rez%20Pizarro.png
Fernando Calatrava;https://github.com/IvoVillanueva/arbitros/blob/main/Fernando%20Calatrava.png
Jordi Aliaga;https://github.com/IvoVillanueva/arbitros/blob/main/Jordi%20Aliaga.png
Juan Carlos García González;https://github.com/IvoVillanueva/arbitros/blob/main/Juan%20Carlos%20Garci%CC%81a%20Gonza%CC%81lez.png
Luis Miguel Castillo;https://github.com/IvoVillanueva/arbitros/blob/main/Luis%20Miguel%20Castillo.png
Martín Caballero;https://github.com/IvoVillanueva/arbitros/blob/main/Marti%CC%81n%20Caballero.png
Miguel Ángel Pérez Pérez;https://github.com/IvoVillanueva/arbitros/blob/main/Miguel%20A%CC%81ngel%20Pe%CC%81rez%20Pe%CC%81rez.png
Óscar Perea;https://github.com/IvoVillanueva/arbitros/blob/main/O%CC%81scar%20Perea.png
Rafael Serrano;https://github.com/IvoVillanueva/arbitros/blob/main/Rafael%20Serrano.png
